iter	Passed	Remaining
0	133	133323
1	135	67510
2	136	45441
3	138	34366
4	139	27764
5	140	23321
6	142	20187
7	143	17806
8	145	15976
9	146	14463
10	147	13274
11	148	12259
12	149	11380
13	151	10640
14	152	10007
15	153	9441
16	154	8939
17	155	8503
18	157	8126
19	158	7765
20	159	7438
21	160	7152
22	162	6909
23	164	6681
24	165	6451
25	167	6282
26	169	6095
27	170	5911
28	171	5756
29	173	5604
30	174	5450
31	175	5320
32	177	5206
33	178	5082
34	180	4973
35	181	4858
36	182	4745
37	183	4640
38	184	4546
39	185	4457
40	186	4365
41	187	4279
42	188	4203
43	190	4140
44	191	4073
45	192	4002
46	194	3935
47	195	3877
48	196	3819
49	197	3761
50	199	3703
51	200	3650
52	201	3599
53	202	3546
54	203	3495
55	204	3452
56	206	3409
57	207	3363
58	208	3321
59	209	3280
60	210	3242
61	211	3202
62	212	3164
63	213	3127
64	215	3093
65	216	3057
66	217	3024
67	218	2993
68	219	2960
69	220	2933
70	222	2904
71	222	2873
72	223	2843
73	224	2813
74	225	2783
75	226	2755
76	227	2726
77	228	2701
78	229	2680
79	231	2656
80	232	2634
81	233	2609
82	233	2581
83	235	2565
84	236	2545
85	237	2525
86	238	2504
87	239	2482
88	240	2461
89	241	2441
90	242	2422
91	243	2403
92	244	2384
93	245	2367
94	246	2347
95	247	2329
96	248	2310
97	249	2298
98	250	2281
99	251	2266
100	252	2249
101	253	2234
102	254	2219
103	255	2203
104	256	2187
105	257	2171
106	258	2157
107	259	2145
108	260	2131
109	261	2117
110	262	2103
111	263	2090
112	264	2077
113	265	2065
114	266	2052
115	267	2040
116	268	2028
117	269	2017
118	270	2004
119	271	1993
120	273	1984
121	274	1973
122	275	1962
123	276	1951
124	277	1939
125	278	1929
126	279	1918
127	280	1912
128	281	1903
129	282	1893
130	284	1886
131	285	1876
132	286	1866
133	287	1856
134	288	1847
135	289	1839
136	290	1830
137	291	1822
138	292	1813
139	293	1804
140	294	1796
141	295	1786
142	297	1781
143	298	1775
144	299	1767
145	300	1759
146	301	1751
147	302	1742
148	303	1735
149	304	1726
150	305	1718
151	306	1711
152	307	1703
153	308	1695
154	310	1690
155	311	1685
156	313	1680
157	314	1674
158	315	1669
159	316	1662
160	317	1653
161	318	1648
162	319	1641
163	320	1635
164	322	1630
165	323	1625
166	325	1622
167	326	1615
168	327	1609
